eGRIDid,Plant,Owner,PAC,ParentPAC,NERC,eGRID,PCA,Fuel,NetGeneration,CO2,CO2Intensity,VarCosts,Capacity,Latitute,Longitude,HeatRate,Utilization,State
1,Alakanuk,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1837,1247.79,1358.51,79.25,1.3,62.68,-164.65,8500,0.1613,AK
2,Anchorage 1,Anchorage Municipal Light and Power,None,None,ASCC,AKGD,Anchorage Municipality of,GAS,93724,66332.24,1415.48,33.14,103.1,61.23,-149.89,12084.35,0.1038,AK
3,Angoon,"Inside Passage Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1873,1302.49,1390.81,79.25,1.9,57.84,-134.98,8500,0.1125,AK
4,Aniak,Aniak Light & Power Co Inc,None,None,ASCC,AKMS,Alaska Misc,OIL,2510.76,2959.63,2357.56,79.25,1.1,61.59,-159.53,14408.39,0.2606,AK
5,Annex Creek,Alaska Electric Light&Power Co,None,None,ASCC,AKMS,Alaska Misc,HYDRO,25455,0,0,0,4,58.32,-134.1,N/A,0.7265,AK
6,Auke Bay,Alaska Electric Light&Power Co,None,None,ASCC,AKMS,Alaska Misc,OIL,6975,7885.38,2261.04,79.25,36.2,58.39,-134.64,13818.49,0.022,AK
7,Aurora Energy LLC Chena,Aurora Energy LLC,None,None,ASCC,AKGD,Golden Valley Elec Assn Inc,COAL,209379,352368.44,3365.84,16.7,29,64.85,-147.73,15630.07,0.8242,AK
8,Barrow,North Slope Borough Power & Light,None,None,ASCC,AKMS,Alaska Misc,GAS,48402,24070.62,994.61,33.14,20.3,71.28,-156.8,8500,0.2722,AK
9,Beaver Falls,Ketchikan Public Utilities,None,None,ASCC,AKMS,Alaska Misc,HYDRO,44879,0,0,0,5.4,55.36,-131.68,N/A,0.9487,AK
10,Beluga,Chugach Electric Assn Inc,None,None,ASCC,AKGD,Chugach Electric Assn Inc,GAS,2047570,1250172.55,1221.13,33.14,374.4,61.19,-151.04,10436.19,0.6243,AK
11,Bernice Lake,Chugach Electric Assn Inc,None,None,ASCC,AKGD,Chugach Electric Assn Inc,GAS,24560,24675.38,2009.4,33.14,76.7,60.69,-151.39,17173,0.0366,AK
12,Bethel,Bethel Utilities Corp,None,None,ASCC,AKMS,Alaska Misc,OIL,41085,28570.62,1390.81,79.25,12.6,60.79,-161.79,8500,0.3722,AK
13,Black Bear Lake,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKMS,Alaska Misc,HYDRO,19188,0,0,0,4.5,55.48,-133.15,N/A,0.4868,AK
14,Blue Lake,Sitka City & Borough of,None,None,ASCC,AKMS,Alaska Misc,HYDRO,58422,0,0,0,6,57.05,-135.23,N/A,1.1115,AK
15,Bradley Lake,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKGD,Chugach Electric Assn Inc,HYDRO,362293.41,0,0,0,126,59.76,-150.85,N/A,0.3282,AK
16,Centennial,Metlakatla Power & Light,None,None,ASCC,AKMS,Alaska Misc,OIL,-91,266.13,-5849.11,79.25,3.3,55.11,-131.55,-35747.25,-0.0031,AK
17,Chester Lake,Metlakatla Power & Light,None,None,ASCC,AKMS,Alaska Misc,HYDRO,4258,0,0,0,1,55.11,-131.55,N/A,0.4861,AK
18,Chevak,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,2346,1979.11,1687.22,79.25,1,60.92,-159.77,10556.69,0.2678,AK
19,Cooper Lake,Chugach Electric Assn Inc,None,None,ASCC,AKGD,Chugach Electric Assn Inc,HYDRO,33262,0,0,0,19.4,60.49,-149.82,N/A,0.1957,AK
20,Craig,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKMS,Alaska Misc,OIL,1565,1376.82,1759.51,79.25,4.4,55.48,-133.15,10753.35,0.0406,AK
21,Delta Power,Golden Valley Elec Assn Inc,None,None,ASCC,AKGD,Golden Valley Elec Assn Inc,OIL,253,515.83,4077.67,79.25,23.1,64.03,-145.72,24920.95,0.0013,AK
22,Dillingham,"Nushagak Electric Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,18003.58,14149.56,1571.86,79.25,6.9,59.67,-157.89,9606.53,0.2979,AK
23,Dutch Harbor,City of Unalaska,None,None,ASCC,AKMS,Alaska Misc,OIL,29227,21368.01,1462.21,79.25,6.5,53.98,-166.54,8936.39,0.5133,AK
24,Eielson AFB Central Heat & Power Plant,U S Air Force-Eielson AFB,None,None,ASCC,AKGD,Golden Valley Elec Assn Inc,COAL,73281,44843.62,1223.88,16.7,33.5,64.67,-147.07,5684.1,0.2497,AK
25,Eklutna Hydro Project,Anchorage Municipal Light and Power,None,None,ASCC,AKGD,Chugach Electric Assn Inc,HYDRO,57056,0,0,0,44.4,61.61,-149.12,N/A,0.1467,AK
26,Elim,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1109,877.6,1582.68,79.25,1.6,64.62,-162.28,9902.62,0.0791,AK
27,Emmonak,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,3043,2066.98,1358.51,79.25,2.2,62.87,-164.49,8500,0.1579,AK
28,Fairbanks,Golden Valley Elec Assn Inc,None,None,ASCC,AKGD,Golden Valley Elec Assn Inc,OIL,10508,19202.12,3654.76,79.25,42.2,64.85,-147.72,22010.09,0.0284,AK
29,False Island,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKMS,Alaska Misc,OIL,414,350.4,1692.76,79.25,1.3,55.49,-133.13,10345.41,0.0364,AK
30,Fort Greely Power Plant,U S Army-Fort Greeley,None,None,ASCC,AKGD,Golden Valley Elec Assn Inc,OIL,112.7,78.37,1390.81,79.25,10.4,63.09,-145.72,8500,0.0012,AK
31,Galena Electric Utility,Galena Electric Utility,None,None,ASCC,AKMS,Alaska Misc,OIL,6096,4239.17,1390.81,79.25,6.2,64.74,-156.96,8500,0.1122,AK
32,Gambell,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1796,1463.52,1629.75,79.25,1.6,63.77,-171.74,10197.1,0.1281,AK
33,George M Sullivan Generation Plant 2,Anchorage Municipal Light and Power,None,None,ASCC,AKGD,Anchorage Municipality of,GAS,1004742,638878.21,1271.73,33.14,266.3,61.13,-149.08,10867.58,0.4307,AK
34,Glennallen,"Copper Valley Elec Assn, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,8555,7904.85,1848.01,79.25,8.5,61.98,-146.55,11294.21,0.1149,AK
35,Goat Lake Hydro,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKMS,Alaska Misc,HYDRO,16809,0,0,0,4,59.46,-135.33,N/A,0.4797,AK
36,Gold Creek,Alaska Electric Light&Power Co,None,None,ASCC,AKMS,Alaska Misc,HYDRO,4630,9.33,4.03,0,9.7,58.3,-134.41,7600,0.0545,AK
37,Green Lake,Sitka City & Borough of,None,None,ASCC,AKMS,Alaska Misc,HYDRO,58101,0,0,0,18.6,56.99,-135.12,N/A,0.3566,AK
38,Gwitchyaa Zhee,Gwitchyaa Zhee Utility Co,None,None,ASCC,AKMS,Alaska Misc,OIL,2311,1607.08,1390.81,79.25,2.2,66.52,-145.31,8500,0.1199,AK
39,Haines,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKMS,Alaska Misc,OIL,-131,170.5,-2603,79.25,6.2,59.24,-135.45,-15908.4,-0.0024,AK
40,Healy,Golden Valley Elec Assn Inc,None,None,ASCC,AKGD,Golden Valley Elec Assn Inc,COAL,213080,230581.18,2164.27,16.7,30.8,63.85,-148.95,10112.33,0.7897,AK
41,Hoonah,"Inside Passage Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,4737,3949.56,1667.54,79.25,2.4,58.18,-135.74,10191.26,0.2253,AK
42,Hooper Bay,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,2638,2132.54,1616.79,79.25,1.6,61.52,-166.1,10116,0.1882,AK
43,Hydaburg,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKMS,Alaska Misc,OIL,-10,29.45,-5890.47,79.25,1,55.21,-132.83,-36000,-0.0011,AK
44,International,Chugach Electric Assn Inc,None,None,ASCC,AKGD,Chugach Electric Assn Inc,GAS,950,1085.96,2286.23,33.14,46.3,61.17,-149.91,19538.95,0.0023,AK
45,Jarvis Street,Sitka City & Borough of,None,None,ASCC,AKMS,Alaska Misc,OIL,-770,320.62,-832.78,79.25,12.1,57.05,-135.31,-5089.61,-0.0073,AK
46,Kake,"Inside Passage Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,2417,1680.79,1390.81,79.25,2.5,56.15,-133.15,8500,0.1104,AK
47,Kasidaya Creek Hydro,Alaska Power Co,Edison Electric Institute,Edison Electric Institute,ASCC,AKMS,Alaska Misc,HYDRO,5731,0,0,0,3,59.41,-135.34,N/A,0.2181,AK
48,Kasigluk,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,2048,1674.89,1635.63,79.25,1.6,60.87,-162.52,10233.89,0.1461,AK
49,Ketchikan,Ketchikan Public Utilities,None,None,ASCC,AKMS,Alaska Misc,HYDRO,21445,0,0,0,4.2,55.36,-131.68,N/A,0.5829,AK
50,Kiana,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1603,1377.45,1718.59,79.25,1.1,67.57,-160.51,10752.96,0.1664,AK
51,King Cove,City of King Cove,None,None,ASCC,AKMS,Alaska Misc,HYDRO,25584.9,2048.49,160.13,0,2.6,55.73,-160.72,5609.22,1.1233,AK
52,Kivalina,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1228,1064.83,1734.26,79.25,1.1,67.63,-163.72,10850.98,0.1274,AK
53,Kodiak,Kodiak Electric Assn Inc,None,None,ASCC,AKMS,Alaska Misc,OIL,16348,12912.65,1579.72,79.25,22.3,57.79,-152.42,9654.58,0.0837,AK
54,Kotlik,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1959,1330.66,1358.51,79.25,1.4,62.95,-163.76,8500,0.1597,AK
55,Kotzebue,Kotzebue Electric Assn Inc,None,None,ASCC,AKMS,Alaska Misc,OIL,22172,14800.26,1335.04,79.25,14.6,66.21,-160.27,8500,0.1734,AK
56,Koyuk,"Alaska Village Elec Coop, Inc",None,None,ASCC,AKMS,Alaska Misc,OIL,1283,871.49,1358.51,79.25,1.1,64.93,-161.16,8500,0.1331,AK
57,Lake Dorothy,Alaska Electric Light&Power Co,None,None,ASCC,AKMS,Alaska Misc,HYDRO,36296,0,0,0,14.3,58.23,-134.05,N/A,0.2897,AK
