Region,Load,TR
MISO,100577.8,0
MISO,100413.9,0.000114811
MISO,99702.1,0.000229621
MISO,99172.4,0.000344432
MISO,99048.3,0.000459242
MISO,99017.7,0.000574053
MISO,98665.9,0.000688863
MISO,98551.8,0.000803674
MISO,98409.7,0.000918485
MISO,98316.1,0.001033295
MISO,98052.3,0.001148106
MISO,97910.1,0.001262916
MISO,97830,0.001377727
MISO,97708.3,0.001492537
MISO,96902.9,0.001607348
MISO,96802.7,0.001722158
MISO,96482.3,0.001836969
MISO,96392.9,0.00195178
MISO,96080.2,0.00206659
MISO,95691.8,0.002181401
MISO,95199.8,0.002296211
MISO,94182.5,0.002411022
MISO,93688.6,0.002525832
MISO,93454.8,0.002640643
MISO,93308.4,0.002755454
MISO,93254.2,0.002870264
MISO,93191.4,0.002985075
MISO,92950.6,0.003099885
MISO,92861.1,0.003214696
MISO,92802.3,0.003329506
MISO,92722.4,0.003444317
MISO,92674.4,0.003559127
MISO,92600.6,0.003673938
MISO,92466.3,0.003788749
MISO,92374.3,0.003903559
MISO,91307.5,0.00401837
MISO,91092.2,0.00413318
MISO,91089.2,0.004247991
MISO,91067.4,0.004362801
MISO,90974.1,0.004477612
MISO,90839.3,0.004592423
MISO,90363.04,0.004707233
MISO,90189.13,0.004822044
MISO,90182.2,0.004936854
MISO,89876.2,0.005051665
MISO,89544.6,0.005166475
MISO,89330.3,0.005281286
MISO,89283.6,0.005396096
MISO,89277.4,0.005510907
MISO,89176.1,0.005625718
MISO,88975.41,0.005740528
MISO,88910.4,0.005855339
MISO,88907.6,0.005970149
MISO,88906.2,0.00608496
MISO,88801.33,0.00619977
MISO,88693.2,0.006314581
MISO,88383.73,0.006429392
MISO,88365.4,0.006544202
MISO,88178.26,0.006659013
MISO,88086.7,0.006773823
MISO,88050.4,0.006888634
MISO,87821.16,0.007003444
MISO,87402.8,0.007118255
MISO,87358.8,0.007233065
MISO,87327.27,0.007347876
MISO,87292.8,0.007462687
MISO,87207.7,0.007577497
MISO,87177.08,0.007692308
MISO,87175.29,0.007807118
MISO,87086.3,0.007921929
MISO,86833.6,0.008036739
MISO,86822.9,0.00815155
MISO,86792.2,0.008266361
MISO,86785.69,0.008381171
MISO,86728.41,0.008495982
MISO,86639.5,0.008610792
MISO,86601.2,0.008725603
MISO,86591,0.008840413
MISO,86580.11,0.008955224
MISO,86520.5,0.009070034
MISO,86453.75,0.009184845
MISO,86350.55,0.009299656
MISO,86304.5,0.009414466
MISO,86231.54,0.009529277
MISO,86121.6,0.009644087
MISO,86097.7,0.009758898
MISO,85994.9,0.009873708
MISO,85991.31,0.009988519
MISO,85976.1,0.01010333
MISO,85915.3,0.01021814
MISO,85895.88,0.010332951
MISO,85875.6,0.010447761
MISO,85875.6,0.010562572
MISO,85776.13,0.010677382
MISO,85754.8,0.010792193
MISO,85689.24,0.010907003
MISO,85682.79,0.011021814
MISO,85527.19,0.011136625
MISO,85490.46,0.011251435
MISO,85385.4,0.011366246
MISO,85345.5,0.011481056
MISO,85345.18,0.011595867
MISO,85304.8,0.011710677
MISO,84989.3,0.011825488
MISO,84972.59,0.011940299
MISO,84886.38,0.012055109
MISO,84827,0.01216992
MISO,84810.31,0.01228473
MISO,84780.05,0.012399541
MISO,84697.12,0.012514351
MISO,84634.21,0.012629162
MISO,84621.12,0.012743972
MISO,84619.8,0.012858783
MISO,84607.6,0.012973594
MISO,84598.3,0.013088404
MISO,84590.3,0.013203215
MISO,84585.9,0.013318025
MISO,84558.03,0.013432836
MISO,84538.6,0.013547646
MISO,84506.8,0.013662457
MISO,84497.52,0.013777268
MISO,84408.5,0.013892078
MISO,84406.78,0.014006889
MISO,84394.5,0.014121699
MISO,84390.6,0.01423651
MISO,84352.51,0.01435132
MISO,84298.48,0.014466131
MISO,84281,0.014580941
MISO,84211.67,0.014695752
MISO,84194.1,0.014810563
MISO,84192.1,0.014925373
MISO,84179.88,0.015040184
MISO,84171.33,0.015154994
MISO,84154.35,0.015269805
MISO,84136.33,0.015384615
MISO,84114.3,0.015499426
MISO,84062.1,0.015614237
